Name,User,Message,Profile,Age,Character Art,Embed Color,Identity,Known History,Origin,Other Names,Physical Description,Pronouns,Species,Theme
Edmund Archer,452728022903291934,1318840707829731328,23555097-f226-4a4b-8119-fb9a65d9b2de,22,https://i.imgur.com/83HOEAU.png,,Charming Con-Man,"Edmund Archer grew up in the streets of Lastport. From a young age, Edmund learnt quickly about the evils of the elite. Edmund used his pretty looks and charisma to get pity taken on him, using that to rob the rich blind. 

As he grew into a young adult, Edmund learnt how to behaviour as a servant, a common disguise he'd use to hide his identity. He does his best to help out the poor, acting as a sort of robin hood.","Lastport, Kor'Tarion",,"Edmund is a 5""4 man with long light blue hair with hazel eyes. He wears a butler's uniform.",He/Him,Human,Ambition
Edward Lowell Jr.,173547590694993920,1356659212641505280,5804caf7-a67c-4c9d-a2e2-c3a0885b6d4b,26,https://media.discordapp.net/attachments/737973699336208428/1356658786252886186/Edward_Lowell_Jr._Banner-1.png?ex=67ed5e74&is=67ec0cf4&hm=868b456469a84e6fd5c184e452959cc149bc129fcf005daf9cc0e8ac7560dbf8&,#ffdf00,Businessman of a Million Mysteries,"Ed is the owner of a small business known as ""The Million Mystery"" company. There's only a handful of people working at most, but they do alot of pro bono work for solving closed police cases and even supernatural occurances. Not much else is publically known about this man unless actively dug for on his records. He reeks of silver spoon privilege though.","Haven, Terra (Billionaire Lane, South Rock)",,"Ed is a 6'4"" decently muscular guy with blonde hair and blue eyes. His physique is often hidden in a nice, custom tailored suit that keeps him sharp. His cologne smells of a dark wood and old spice blend.",He/Him,Human,Justice
Ekho,200273794969894912,1276904437880852480,7df924b8-a0c5-4266-982b-164e0bddaf12,???,https://i.imgur.com/DinPySO.jpeg,,Wandering Warden in Full Bloom,"With whatever limited vocabulary they have, a few of the induced hallucinations this one managed to provide, it's been only clear enough that Ekho acted as a warding flower next to the Kiir hives, occasionally taking proteins from fallen creatures. Things have changed when they ended up nursing a young woman back to health, just enough to get her back to safety. On a particularly rough night during the sandstorm, while this one was hiding away in an old sack, that decision ended up making this one eligible for the spot on the ship.

...or so this one recalls.","???, Nezmira",,"To the naked eye, Ekho resembles a green-skinned desert plant in the shape of a young woman, with black eyes and a stretched-out mouth, with a hair bun that allows this one to open their own head as one giant bulb.

Standing about five feet high, this one wears an old linen sack they were thrown in with, with a rope acting like a sash to hold some of their possessions, like water skins and seeds of ""little ones"". One may also spot this one with a wooden stake they use for movement, gardening and, occasionally, fending off hostile creatures.",this/one,Plant,Caution
Elaine Sejr,95487748466544640,1357366223163363328,b293915b-cb0a-4907-a6b5-2b29841fcd7b,~~19~~ 20,https://i.imgur.com/tkBlFPV.png,,Stubborn Tech Savant,"Elaine grew up in Haven, though where specifically isn't widely known. She travels around in her Van she inherited from her good Uncle, and left her home thereafter without any goodbyes. 

Since then she has been doing on and off jobs for people. Eventually getting into a gig with 100G Security. Though spends most of her time playing games and only working when she has to by her superiors or has bills to pay.

On her van is a sticker for blood and plasma donations.","Terra, Haven",,"Height: 160cm

Elaine is a blonde haired female presenting individual from Terra. Rather petite figure and a patch covering her right eye. Usually wears rather loose clothes and looks mostly unbothered by most things.",She/Her/They/Them,Human (slightly Augmented),Rebellion
Elara Alksnis,464911746088304650,1338302279333318656,28f160d5-fb34-49ad-8ea4-8508d7ca37ce,18,https://images-ext-1.discordapp.net/external/B5hW9c7RbkxltAKumJD4d9shkf7TJn3ZSMt4lHV7dhc/https/i.imgur.com/TnmDpro.png,#c41617,Overly Curious Combat Engineer,"Orphaned as a child due to Caden Lockflint's direct actions, she was fooled and taken by him as an adoptive daughter and raised to be a Magitech engineer. But her latent magic made it so the Magitech crystals consistently exploded from her touch, causing her to fail at the Academy of Korala.

Caden then severed ties with Elara, forcing her into a mercenary life. He left her with some equipment and two cyborg animal companions for support, of which only Quill remains. She managed to survive through these two years thanks to a band of mercenaries that saw her sharpshooting skills and took care of her.

She became a Goldhearted a year ago, and remained close to other Lhodosian, both from Merrane and Karslgard. She initially hid her relation to Caden, but was accepted even after it was revealed.

Recently, she learned the truth about Caden, and, with the help of Tika and Kviss, she learned to control her Chimeric magic. She then abandoned the surname Lockflint for Tika's Alksnis.",Lhodos - Merrane,"Elara Walden, Elara Lockflint","Young white-haired girl with wolf ears and often wagging tail. 155cm (5'1"") and 59kg (130lb).",She/Her,Wilkin,Ambition
Eleanor Radcliffe,181728942615429122,1244022532105961472,e0ca3ff6-40d3-4099-a16d-e2b5dd8d8d61,26,https://cdn.discordapp.com/attachments/1008811191184937030/1243567645047914556/IMG_2989.jpg?ex=6651f21e&is=6650a09e&hm=41cc131c2c3dc12f46dfa66b3db5b878343aa9516e9f446620e29be96c34512b&,,A cunning Inventor protecting the one she loves,"Eleanor's life began in a peaceful village, under the watchful eye of her loving family and amidst her parents' experimental workshop. As war encroached, her idyllic life was shattered, forcing her to flee with her family and beloved Elysant. Together, they sought refuge in Bastion, a city that offered a chance to rebuild.

In Bastion, Eleanor and Elysant found strength in their bond, marrying and committing to their new community. Both joined the war effort, driven by a deep sense of duty. While Elysant protected others on the front lines, Eleanor used her skills to fix armors, create weapons, craft elixirs, and take out dangers with the experimental guns gifted by her parents.

Despite the danger, Eleanor's unwavering love for Elysant gave her strength, fueling her determination to survive and build a better world together. Each act of courage was a step toward ensuring they could share another day in each other's arms.","Lhodos , Kingdom of Karlsgard",,"Eleanor has striking blue hair and vibrant green eyes. Her hair, cascading in waves, frames a face that alternates between a serene smile and a contemplative, almost pensive expression. She is mostly seen wearing elegant yet practical outfits. Her signature outfit being a a black cropped top with a high collar. Over her right arm, she has a beautifully designed armored sleeve with intricate gold detailing. The armor contrasts with the softer fabric of her white pants, which are loose and comfortable, tied with a blue sash that complements her overall color scheme. Black knee-high boots complete the look.",She/Her,Human,Belonging
Elijah-2615,106596968976957440,1336103519236915200,19e41f14-a5ad-481d-a2d6-63f654b058f2,19,https://i.imgur.com/b1AHvlV.png,#3B6EA5,A Fleshling of Metal and Magic,"For those from his school, it is known that Eli is a quiet first year in the House of Paladins who comes from Steelbin. He often needs medical or physical accommodations, and is often missing from class.

For the attentive, it would also be known that he was briefly considered for the House of Regalia before joining the House of Paladins instead.",Steelbin - Kaiway,,"A lanky individual, a little over 6'1'' tall, with a face and body hidden inside an environmental isolation suit with a tabard, robes, and sigils atop, giving it the appearance of a strange mage's robes.

He carries a mechanized staff and a tome at his belt, as well as a wide variety of stimulants and medicine at his belt should his body begin to fail.",He/him,Human (Augmented),Duty
Eluna,419689143443128321,1290375606206468352,ffb80015-792a-427c-9b94-977826cddfab,Secret,https://i.imgur.com/tyznuee.png,#FFFFFF,Essence Burning Singer,"Despite her fangs there is no vampirism that some may think, neither herself or her village partakes in such practices or have a need to. Having spent a lot of time in an isolated fae village she hasn't interacted much with humans, beyond a few chance encounters in her moments of wanderlust. Very few of her interactions with humans have been outright hostile but many have been afraid of her. However, there have been a few instances that have given her hope music and song might manage to ease some of the discord between the fae and humans. Music and singing mean everything to the village she is from and as such she will not refuse to give an encore if asked and will never willingly leave a song unfinished.","The Faerie Realm, Kor'Tarion",,"Eluna stands at 5'2"" with silver hair, pointed ears and fangs. Most notably though is the faint fire the seems to dance in her the irises of her eyes that grows brighter as she sings.",She/Her,Fae,Determination
Elvis Alden,143928862194139146,1360998095508476160,a14cd510-2a61-4a0a-864b-8e038a1dcac1,38,https://i.imgur.com/zhpBlgS.png,,Man of the World,"Elvis will humbly share that he is a former scholar of Hudal Academy. He will perhaps overshare that besides that he has accomplished remarkably little otherwise, especially socially. This is due to having quickly developed into a total shut in who did nothing but study for upwards of a decade. A period of his life he is not... proud of.",Kor'Tarion,,"A tall, gangly and all too pale Elven fellow. His notable features are his somewhat feminine face, and his absolutely absurd bundle of fluffy red hair.",He/They,Elf adjacent,Curiosity
Elysant Radcliffe,299015281853071360,1244112596265603072,cf3d23df-3e21-4980-852d-9f108f5af47a,27,https://i.pinimg.com/474x/af/e1/aa/afe1aac7c872f38e3dd1bd9a8203529f.jpg,,A Knight Ready to Give it Her All,"Born in a town that was quickly undone in the conflict of war, Elysant ran to Bastion with her love in hand. There they became refugees in a new home before they picked up the pieces they could to make a life for themselves. There she and her other half married and had joined the war efforts. There she found another way to help those around her. 

Elysant threw herself into danger, protecting those she cared for while doing all she could to make sure that she could return home to the one waiting for her.","Kalsgard, Lhodos",,"A woman who stands at 5'9, she still has an aura of confidence as she rarely falters in her steps forward. Her expression positive as she takes challenges head-on. Beyond that, she often is dressed in armor that is standard for those in Kalsgard with a shield and hammer in hand. Her preference for those things is simpler than the machinery around her.",She/Her,Human,Preserverance
Ember Wake,178284834978791425,1356868131271999488,6eb18709-c52b-40c1-bd9e-5a76d8d27b7c,36,https://i.imgur.com/eDtBf99.png,,Faded Stargazing Engineer,"- Came from a poor family
- Went into debt with ETA to get qualification through higher education
- Worked for Orrery for a long time, and finally got a chance to work in sub-orbital satellite maintenance through a work-visa for the Trans-Orbital Relocation Colum
- Skyfall destroyed many orbital structures, one of which he was working on
- He died, and was brought back as an Insolvent, and then got picked up by a realmstorm only days after","Vinyard, Terra",,"Ember is a 6'5, bulky figure in maintenance gear suited for 0-G and Vacuum usage. His skin is a faded, darker grey with the classical glowing red eyes indicative of Insolvency for Terrans. His beard is trimmed but somewhat shaggy, as is his hair.",He/Him,"Human, Insolvent",Burden
Emi,235530932000391169,1335678893021073664,96fc862f-25ff-4bd7-9053-691581184203,22,https://i.imgur.com/rRopAu2.jpeg,FF160C,Rocker,"Emi is the first daughter of a well-to-do corporate family. Tired of the pressure and responsibility, she ran away from home when her uncle died, changed her name, and started a new life as a musician. She's been playing shows and trying to make a name for herself in Haven ever since.",Terra,,"Emi is a short, pretty woman with medium length blonde hair, bright blue eyes, and a slight build. Her hair seems to by styled differently every other day, and always has some streak of bright pastel. Her wardrobe seems to be constantly shifting as well, though short skirts with fun patterns, thigh highs, jackets and crop tops are more common than anything else.",She/Her,Human,Rebellion
Emil Stoneheart,319372431221587968,1361157040788996096,be2e64aa-9532-4e17-ba03-61b5a587360d,27,https://i.imgur.com/STQIwOt.png,,Newest Knightly Recruit of the Goldhearted Coalition,"Those from Snowmaw would know Emil as being a simple guard after being released from being a Brightshield Knight. He became one after he was inspired to become a knight due to the actions of the Goldhearted's Heroism.

Those from the Knights of Brightshield would know Emil as an Aspiring Knight when they had recently joined but they were expelled due to the red moon's events and being half-fae.

Those from the Goldhearted Coalition know Emil from being the latest recruit brought in by one of the knights that serve with the coalition. He's new to the Coalition but has been an active member ever since they joined.","Kor'tarion, Lastport",,"This character has short, fluffy pink hair and striking amber-gold eyes with slit pupils, giving a feline impression that matches their prominent pink fox ears. They stand at a height of 5'9. A small red mark rests on their forehead, adding a mystical touch. They wear white and gold-trimmed armor over a dark turtleneck.",Any/All,Half-Fae Fox,Duty
Emile Holdermann,80826834912018432,1322448751406874624,8c17a8a1-f343-4718-91a3-358b01c16899,21,https://i.imgur.com/4Hp3go7.png,,Unemployed Carbon Alloyed K9,"Coming from a family of policemen. It wasn't too surprising that Emile had an interest in following in their footsteps. Though a childhood largely comprised of being stuck to a hospital bed made that an impossibility. However, with the assistance of a charity organization and alleged years worth of savings from his parents, Emile was given near full-body cybernetics for a proper chance at life.

After having worked at the investigative branch of the Haven PD under his father for about a year. Emile has had his badge revoked after breaking into a large corpo facility to try and rescue an ally. With his occupation gone, and likely having drawn the ire of his family. Emile looks for direction in life, not having given up on the justice that brought him here.",Terra: Silver Rock (South Rock),,"Emile can often be observed to be in a relatively calm state, typically either daydreaming or collecting his thoughts. He stands at roughly 5'6"" tall, with his visage being mainly that of a canine with doberman-esque appearance and and eyes shimmering a pearlescent white. He is typically seen wearing either relatively casual streetwear or the uniform from his local law enforcement branch. A pretty striking point of interest though is the augmented mechanical left arm, with it's metallic construction readily visible.

When out on the field he can be seen with a blade attatched to his belt and vest. Leaving an impression of close combat being their preference.",He/Him,Human (Terra),Justice
Enlai,465582019150217226,1354592811604774912,e4c09cac-e387-4edd-b8cc-c3c02ccb20a5,60,https://i.imgur.com/Y5LNb8W.png,,Merry Farmhand Entering a Wide World,"- Resident of Bingchuan village where he earned a living as an ordinary farmer, gifted with a green thumb (or just plain good luck)
- Befriended a Jinshi martialist, Yang Xiang, who exchanges cups over discussing the Dao of the Drunken Master
- A yokai invaded the village and ruined their hard-earned crop, inciting Enlai to chase it furiously
- He unwittingly crossed a realmstorm onto the Worldhelm, and wishes to experience the joys of a broader world","Bingchuan Village, Jijing Xiantiao, Wujing Guo, Tian Yin",恩来,"The Vanara stands just over 5 feet tall with a lean toned physique earned from laborious farmwork. Wears peasant clothing, a straw hat slung over his back and a stalk of grass in their mouth. Rarely seen without a smile on his face and a bottle in his hand.",He/him,Vanara,Joy
Enoch,321875283147751424,1191330790190096384,39e94969-0a4b-45f9-b11f-94460474c75d,22,https://images-ext-1.discordapp.net/external/GjkiatvJjhilUs6pag778xW7fXrYdo1u2xPjiWdZtVM/https/static.zerochan.net/Tuda6.full.4024179.jpg,,Sword-Collecting Knight Revolutionary,"Enoch's life was fated to be marked with misfortune. As a child, he wandered the streets of Lastport, orphaned and starving, until he was taken in by a passing traveler known as Kannon Maruyama. 

This woman was in truth a communist revolutionary devoted to fight against the world's bourgeoisie, and a swordmaster who held the legendary cursed sword Kisshoten-Ichimonji. Under her wing, Enoch studied the sword and pen, and found a true family.

However, the Kisshoten-Ichimonji's curse built up over time, and Enoch realized that the next bout of unluck would deal grievous harm to his master. He stole the sword from Kannon's study in the hopes of transferring the curse to himself, as gratitude for the home she had given him. Unbeknownst to Enoch, Kannon had followed him, and he watched in horror as she died protecting him from the being that the sword's curse had summoned--the wielder of the Izanami-Ichimonji. 

Since then, Enoch has devoted his life to hunting swords.",Kor'Tarion,,"A tall, lithe male standing at about 5'9'', with locks of grey hair that fall to his shoulders. His dress lacks ostentation, instead emphasizing practicality and durability, such as a padded mercenary jacket or hidden half-plate armor. The two swords he most often carries are Meteor, his personal longsword with a dark meteoric-iron blade, and the Kisshoten-Ichimonji, a legendary cursed katana with a beautiful crimson scabbard. Sometimes, people swear they can see large furry ears on his head, but it's just an illusion of his hair.",he/him,Human,Ambition
Ephraim,106596968976957440,1243125338331025408,f60f2775-8301-4679-8e11-343e9899cf12,29,https://i.imgur.com/9Lywbf9.jpeg,,A Mercenary Who Swallows his Sadness,"A nightmare, fires roaring through the village. It wasn’t supposed to be like this. The cries were deafening, and there was no sign of orders to stop. Men were descending like wolves, releasing an anger that had lain beneath the surface. These were his fellows, his comrades. They were no longer human. Ephraim shields his eyes, wishing to be anywhere else.

He wakes in a sweat. The stray dog he brought home licks his face, and he is returned to the present. Dawn. He had work to do, the bounty board would be empty and then so would his stomach if he didn’t hurry. To think… If his old crew saw him chasing down criminals, they would have called him a traitor, a dog brought to heel by the Nezzim. 

He wasn’t sure they were wrong. Sometimes it was meaningful work. Many men he brought in were wolves themselves. But other times it felt like he was the boot being placed on someone’s neck.",Nezmira,,Ephraim is a mercenary with an easygoing attitude. He stands at 5'11'' and has hair the color of tarnished bronze.,He/him,Human,Circumstance
Epsilon,227988328119533568,1291106922879258624,fdade799-3ba0-47e9-bbb8-5837a76f6da3,27,https://i.imgur.com/qUmhuIa.png,,Cybernetically Charismatic Bartender,"They have a Master's in chemistry for fuck's sake. Why is his boss holding their reins so tightly when it's clear he can pour and mix circles around everyone else. They even set himself up with that efficiency upgrader, just to get that bonus to make rent in the small apartment they share with his partner.

God. They wish that he could open his own shop. All of the regulars here and half of the others would follow them there.","Haven, Terra",,"Epsilon Affogado, a tall guy with light brown skin, a hot enough body, and currently white techhair, enjoys bartending.",he/they,Human (cybernetic),Aspiration
Erin Shephard,299015281853071360,1346719566214070272,cf3ca09f-42ec-4071-9e1d-efcee608b68c,20,https://i.imgur.com/4o6dZB7.png,,Self-Sufficient Scrapyard Paladin,"Erin, or known as Erin-31 by those in Steelbin, was born in the civilized zone of the reflection. There she was raised with her brother Anthony where they had a simple life with her parents being mechanics for Machina. 

Erin is far from the ideal paladin, having been able to join the academy due to her brother's recommendation to his patron. Whether or not it was a poor investment is still up in the air, though, as while her mechanical skills have improved, she continues to only barely pass on her grades. If only she applied herself more to school.","Steelbin, Kaiway",,Erin is a 5' 10 young woman with tan skin and shaggy brown hair. She is often seen in her uniform though it has the wear and tear of being in it when she is both training and working. A mechanical board is often slung over her shoulder that has become a staple for many who see her.,She/Her,Human,Ambition
Eris L'arca,226351330950643713,1361479314926866688,b0f1c04f-1311-4d2d-ab3b-bec89985abd8,22,https://i.imgur.com/1xSUXG0.png,,Wandering Fae Dancer,"Eris grew up in a forest of Fae, spending her time performing dances with her family, spending every moment of every day in celebration. However, she woke up one day to find the party had mysteriously moved on elsewhere, leaving her in a fit of confusion and unrest. She desperately wandered through the chaos of the Fae Realms to find her family, eventually stumbling into a Fae Crossing, where she suddenly finds herself in a small but bustling town in the middle of Kor'Tarion's fields, constantly under attack by the darkness spilling from the realm. Seeing Kor'Tarion's suffering, she learns to fight the darkness to bring light and happiness to the realm. After a time, the town is suddenly struck by a Realmstorm. Eris had no time to react, getting pulled into the storm and onto the floating ship of the Worldhelm, where she finds herself lost once more. She sets off to become an adventurer to find her lost family, and bring hope and freedom to the rest of the realms.",The Faerie Realm and Ruined Kingdom of Kor’Tarion,,"Eris is a Faerie with many rabbit-like features standing at 4'1"". Small, but with plenty of presence. She has dark fur with a bright blond muzzle and short, puffy white hair with springy rabbit ears poking out from the top of her head and bright white eyes. Her favorite attire for dancing is a flowing green two-piece cloth adorned with flower patterns that leaves plenty of room for her to breath during her performances. A small, round fluffy rabbit tail sits on her lower back. 
During her dances, she sprouts bright glowing wings that seem to radiate with the colors of a peacock, leaving a torrent of feathers in their wake, which often depends on the dance she performs.",She/Her,Rabbit-like Faerie,Hope
Ernest,531113406422581251,1263265750991245312,7ffd9e74-6a02-4f2a-a56d-8d2622765df8,60,https://i.imgur.com/jDJ77kt.jpeg,,"Old, Forlorn Soldier","Ernest was a city guard in Hedgeberg for most of their life. Within the city walls they settled down, and with their spouse they started a family.
One day, when they returned from their night shift, they found their only child missing. Unbeknownst to Ernest, they were taken aboard the Worldhelm.
Once every attempt to find their child failed, sadness and helplessness started to kick in. They retired and grew distant from the other people in their life. Most of their days were spent polishing their old uniform, checking every surface of their motorcycle for bumps or dirt and mindlessly carving figures or tools out of wood.
Very recently, they noticed a surprising calling, a rare feeling of purpose. They were led to the Worldhelm, and embarked on it in a search for... something, anything.","Hedgeberg, Lhodos",,"""An older human. Their face is ugly with age, but their lineaments still have a softness to them. Their white hair is usually messily tied back, and it is not uncommon to see them wear a beret or cap.
They are always dressed with modest clothing, kept to near perfection.
Their posture is usually weary and tense; could it simply be the weight of their years?
Strange, they only go by their first name.""",They/Them,Human,Belonging
Eurydice,283019070578753536,1361905544528527360,110c79c2-6d8a-4908-b7ff-1abe316047cc,22,https://media.discordapp.net/attachments/1179610873271177236/1361483339176873994/20220522_014150-1-3-1.png?ex=68003d2b&is=67feebab&hm=39ac920cd9bec2932bbcf094564704160357752b0be597006891272165b37e2c&format=webp&quality=lossless&,,Aspiring Weapon Saint Walking the Path,"- Eurydice was born within the Bazaar, not only an accidental birth but one believed to be born stillborn or sickly if the birth was even successful. 

- she had a normal upbringing, her father a blacksmith and her mother a merchant so life within the Bazaar was tame for her. Her parents were Keepers of the 4th Grave, Ogum.

- however, at a very young age she was discovered to be a Herald, a walker of Eminence's Path. 

- due to this, she was picked up by the Seven Slaying Arms Sect and trained under them to better foster her abilities. 

- either by her own desires, or the sects, to better honor the Path of Eminence, they set out to conquer an impossible challenge of taking a pilgrimage to the 5th grave, Apep.

- many lost their lives on this pilgrimage, and once they did get to the grave they were attacked by ghosts and spirits. Eurydice herself doesn't remember fully what happened.

- Eurydice now has a connection to ghosts and the Afterlife, having spirits bound to her.","Bazaar, Aranova",6 Unstoppable Dawn Purges the Horizon,"A woman that doesn't stand too tall, only at around 5'4, 5'5 if the day is going well for her. Her hair a stark white like the color has been shocked out of it, half her head shaven as long loose strands of hair hang down one side of her hair. When open her eyes are a sterling silver, a glint in them as if she's seeing more then she should. Adorned in golden jewelry and a mantle of white feathers along her shoulders, her clothes the simple wear of a traveling exorcist. On her person are always an assortment of weapons be them swords to firearms. Most notably are two, one a simple blade perfectly made for her while the other is a broken sword once made for two hands but now fits one. Always, spirits or other ghostly figures are near her person as if tied or drawn to her. A constant friendliness and passive gentleness to her nature.",She/We,Zen,Honor
Evelyn Mayer,108744783031185408,1203226155948314624,f6262012-98e8-4acf-91f6-4cf54c3a94b7,26,https://media.discordapp.net/attachments/351820925852712962/1203086972093210654/image.png?ex=663b434e&is=6639f1ce&hm=5da5ca5d4de3379bd10ed20083645514f7790770966d564836ce44c739a55536&,,Free-Spirited Pirate Seeking Thrills,Evelyn is a part of the Crow's Crew - a pirate ship that sailed both on water and through the air - that went along the Boundless Ocean. The main goal to pillage and otherwise steal from Merrani ships and selling to whoever else while seeking any treasure or otherwise that could be found in more extreme regions of Lhodos under the noses or in direct conflict with the various elementals that exist on Lhodos.,"Lhodos, The Boundless Ocean",,"Evelyn stands at 5'9"" with their messy blue hair only tied up with the ponytail behind then. A eyepatch over one of their eyes as they dress in an almost ostentatiously and aggressively in pirate fashion.",They/Them,Human,Enjoyment
Ezra White,240606774984441866,1204995837231497216,f1c54811-44c2-47eb-86d0-e1a103b47e7b,23,https://media.discordapp.net/attachments/1191865670338613400/1191866600299700315/token_1_73.png?ex=663b5005&is=6639fe85&hm=024b2f2c3b43c2e58ad71468c0221469c9b2eed3ba001d87cb0c13c48068310f&,,Soul Bound Freedom Fighter,"A freedom fighter from Nezmira. He spent his youth hiding away from the world, his disabled caretaker taught him how to fight. When he came of age he began fighting against the oppression the people of Nezmira faced from the lizards. However on his last mission he was killed. But a young woman managed to connect their souls together. They live separate lives but beat the same heart.",Svaros (Nezmira),,"A cat-eared skinny young man. He dresses primarily in red, tattered clothes, jewelry hang from his body. As if he wants to be the centre of attention.",He/Him,Felianos,Justice
Fable,161286356977451009,1320579394829553664,2b5caa4e-6fab-4dbe-bfbf-4134de29f1ee,???,https://cdn.discordapp.com/attachments/636256402482135049/1320564023275688008/friend_w_hat-Portrait_45.png?ex=676a0e96&is=6768bd16&hm=ea2e698d6a0638cdf452ce90b781574dd52c205a6db012db6eaa33ce4eb7b338&,,Diminutive Knight of Destiny,"They awoke, cold and alone in the darkest corner of Kor'tarians woods. But not alone? Feelings, needs, duties? A guiding ghost of dozens of histories that is there and not. But they see the threads, in everything, and know that it is their duty to bind them.

But this world is so cruel, so bitter, and there are so few, certainly none alike them. Do they do as they are compelled? Or do they do as they feel they must? A world in peril needs heroes. They cannot be a hero, but perhaps they can be a heroes hero. If Destinies villains draw blades and blood, so too shall they in defense of the fated hero. Oh but so many have fallen this way despite their best efforts.

But here, a higher purpose? A greater opportunity? They will take it, and see where it takes them.","The Gwaed Forest, Kor'Tarion",,"Fable is a tiny little thing, still standing as tall as they can at 4' total (but they float to about 5'7"", usually) A body, bleak as ink, is blotted with tufts of fluffy snow-white fur. Flanking each side of their head are two perky, long ears like a rabbits, and a crown of jagged horns like those of an upturned buck. A floofy white tail, like a wolves sways behind them, and their slender legs end in a pair of tiny paws. They are decorated with muted cloths of black, and blue, bits of armor and metal protecting important bits. A large, blue-green gem hangs off their neck on a thick loop.

In total shadow, their moony yellow eyes breach the dark, as do the ends of their horns, and the bases of their ears in an eerie white and violet glow.",They/Them,Cecrae,Bravery
Fabri Caetspells,184433219079372800,1341167234579435520,454c6ac8-4e7d-40c4-a9cf-a25d5bc95cc3,19,https://i.imgur.com/2MzQkh7.jpeg,,The Non magical magical girl,"Coming from the famous ""Caetspells"" Family, she was raised as a point of controversy, because despite being part of said famous high lifes, she was a supposedly a mage. Despite being called and trained as a spellcaster her whole life, she simply could never get the hang of casting spells. it never clicked, but her brand was created and the public had there eyes on her, so she went to her inventor uncle, Dupal, to help. He created forms of micro spells that makes it look like she is actually casting spells! This and the brand her mother, Vindi, created the storms sweetheart! a new face to magic to make it more friendly and light hearted. Regardless, Fabri is going to try and be the best heroine she can be!

How much of fabri's upbringing had good intentions? 
Whos to say!","Southrock, Terra",,"A smaller slightly wider woman with sparkly eyes and large poofy curly hair tied back with blue highlights in it. She is dressed as a lightning themed magical girl with slight Mechanical accessories, including her gloves that has her magispheres inside. She also has a cute little umbrella as her spellcasting implement",She/Her,Adorable human,Acceptance
Fafnir,95869822574809088,1313161353514451200,8b536ab5-43af-40fd-995b-0b8315d89baf,100+,https://cdn.donmai.us/original/e9/08/__leona_and_sunstone_alchemy_stars_drawn_by_blazpu__e9085e1277102360b734535254595356.jpg,,Self Annihilating Dragon Defying Nature,"Once a Patron Angel of Asga made of Ivory with a beautiful and immaculate warrior’s form, now entirely changed into human’s form from the melding and twisting of blood, madness and dozens of bodies into one into the appearance of a mix of mankind and demonic creature with features like that of a dragon. In the Three Faced God’s ruination of Idyll they lost everything including their name. What now sticks is the name Fafnir, due do the extreme violence they radiate from their presence, features and uncomfortable heat the pours from their body. Seeking vengeance for the one who brought murder into their home and protecting the layer from those who were twisted by madness.","Idyll, The Fifth Layer Asga",,"Tall with a head of red hair like blood and fire, eyes that smolder like the inside of a volcano. Red scales lineing different parts of her body in clusters from her scaled and clawed hands and around her neck. Two black horns coming from the top that curve and curl into sharpened points along with large black wings that sprout out from the back. She stands at 6'3 normally, constantly radiating warmth and at times under certain situations smells of blood.",She/Her?,Demon,Vengeance
Fancy Mouse,121347692529057794,1171580197410193408,bb25df45-a8f9-47a3-beac-0e29a1c7b04b,27,https://images-ext-1.discordapp.net/external/GLm6iCrJweWfOfoW-BQhl6KjW35112uXR4D9ehlN6Rs/https/i.pinimg.com/564x/7f/07/fc/7f07fcb63d8cd1d35d8ff043a3c3f7b1.jpg,,Graveborn Knight-Errant,"An Orphan, Mikkel fights to have his parents returned to him, and justice dealt to all who deserve it.","Lhodos, The Great Monastery",,"A man with decent looking features, but ones that would allow him to blend into a crowd. He has bright blue eyes and dirty golden hair. His skin is weathered, with decent scaring. Mikkel stands before you at 5'9, weighing a lean 210lb.",He/Him,Human,Justice
Fang,322198528975962112,1196583314056810496,a16ad105-5705-4684-b336-e11fe6152327,20,https://media.discordapp.net/attachments/993669543471874120/1196310328242348083/IMG_0820_removebg.png?ex=663affd0&is=6639ae50&hm=6e6e6e5cbf291bdeb53ab39c73aa245c29dccfe26a8c74af98003682067bbe0d&,,Sharply Dressed Fashionista,"A bright, bubbly, and enthusiastic wilkin, Fang grew up as the adoptive son of a low-ranking member of the Merrani Angels. Trained from a young age towards a future at the WWA, Fang's ambitions, much to his father's chagrin, leaned more towards fashion than securing peace. Though one would be remiss to believe Fang's trainings with blades and minor magitech have garnered no results, as he utilizes the techniques learned both in combat and in pursuit of his work as a fashion designer. 
After finding himself drawn through a Realmstorm to the deck of the Worldhelm, Fang was enthralled with wide-eyed wonder at the idea of the intermingling of the fashions of multiple realms, and seeing what his muse could seek out amongst them all.
Fang's father, by contrast, upon being excitedly told the news on a return trip, sees Fang's status as a, pun intended, golden opportunity to spread the Edict of Savior beyond Lhodos' borders, and thus encouraged his wayward son on his journey.",Merrane,,"A quite effeminate young man with a lithe build, Fang stands at around 5'4"" and 102 lbs. A pair of canine ears poke above a head of light auburn hair, tied back in a 'stylishly unkempt' ponytail and pigtails combo. A matching tail often swishes eagerly below any number of cute outfits, many of which were tailored by Fang himself.
He often wears a pair of odd gloves: stylish, but with a dull humming of magitech woven through the fabric that allows him to manipulate the small blades he utilizes in both dressmaking and combat.

""I'm not a girl, I'm just FABULOUS <3""",He/Him,Wilkin,Ambition
