Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Dull Ahan,184433219079372800,1362480393122480384,2d413624-a38f-4bf1-a8ff-a563d584400c,https://i.imgur.com/TbJqCnF.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1327490986326360084,https://docs.google.com/spreadsheets/d/1NPkmnTQhoYdKXNRZF6BuY7n-tTpE9ZaOeD6ioTUHNM4/edit?gid=0#gid=0,"Necromancer 10
Fury 1
weapon master 3
Pilot 3",8555b4,17,Kor'Tarian,,6:3 pumpkin headed man with an eternal lite in his eyes and mouth (literally) and eternal sinister smile. He is dressed in raggedy clothing with a cape and coat over his armor. The armor has a massive almost magical gash over its chest and a heart stitch where his heart SHOULD be. he has grafts over his body and clear stitching where he was sealed together,Elemental soul (Fire w Bolt Weakness),,,"Soul defender of village from undead after father retired
Tried to fight a necromancer and lost
got his soul treasure stolen and put into a monster
Monsters creation killed necromancer
remembered old morals, a desire to help and do good
despite helping people, he was treated like a monster by fellow Kor'Tarians",Justice
Ebb,181544205796114433,1359342949011292160,56315089-f031-41ac-b896-42bf25e53138,https://i.imgur.com/8QkmV8Y.png,,https://docs.google.com/spreadsheets/d/1lAqviD7-U1JUMCuZne6U1tEqVWQe1MGb7pfKAqdnK6c/edit?usp=sharing,Entropist 3 | Spiritist 1 | Arcanist 2,#C0C0C0,6,Elder's Crag - Kor'Tarion,,"Ebb stands roughly around 4' (121cm), and is vaguely shaped as a normal person. Where there would be eyes are faint motes of light, similar to dim stars in the night. Their form matches the color of the space between the stars, a deep blueish black. Coming from the top of their head is a pair of antenna like pieces of 'hair'. Flowing down past their waist is seeming white colored hair, though it fades off into nothingness instead of normal ends of hair.",Outcast Fairy (Cecrae),,Antikythera (Cecrae),"- Ebb only awoke after the moon's destruction. Leading to him not understanding fully what it  means to be a Cecrae.
- They stayed close to Elder's Crag. Watching the humans fish and collect sea glass while slowing understanding what his purpose was.
- A little over a decade ago a few sightings of Ebb lead to a small tale of a ghost who cared for humans started in towns near Elder's Crag. In reality it was Ebb making sure humans did not die prematurely while near his 'home'.",Destiny
Echo,140595221300772864,1353462013111701504,ea3def5e-a273-4d74-baa1-b8735826b28a,https://i.imgur.com/u1w4SPQ.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1330391422897094679,https://docs.google.com/spreadsheets/d/1nThq1n870-cObvePP0hmDGe_WQbxMZ-IRRny93lan18/edit?usp=sharing,"Chanter ★
Commander 1
Loremaster 3
Orator 1",,15,Yokai (Aldistir),Echoes Through the Canyon,A large red fox standing about 3' at shoulder-height and 5' long from nose to bushy tail. Distinguishable as a yokai from the soft golden glow of his eyes and the way wind seems to play a soft tune around him wherever he goes.,The Beast Who Spoke,"Resonance Cuffs (World Saver Custom Arcane)

Medic's Cloak (When you cause one or more allies to recover Hit Points during a conflict, each of those allies gains Resistance to the next instance of physical damage they suffer before the start of your next turn. This benefit is not cumulative.)",,"-Though granted sapience and power as a young kit, Echo holds no particular loyalties to any of the Aesir, including Kuzunoha. 
-His early life was marked by the same strife as countless other residents of Aldistir, crafting barriers in his heart that have remained strong into adulthood. 
-Having been born and raised on the outskirts of Camp Von Kibo, Echo was known to associate minimally with the Aldish and other yokai, preferring his solitude whenever possible.",Harmony
Edward Lowell Jr.,173547590694993920,1362166161839751168,185c252a-0a73-4075-a1be-035ecd95015f,https://media.discordapp.net/attachments/737973699336208428/1355391192908697670/Edward_Lowell_Jr._Banner.png?ex=67e8c1ea&is=67e7706a&hm=e6c399d09676205dccb94d7f23b6712f5f5bbc0ac7483f321415ef7d466ae1b9&,,https://docs.google.com/spreadsheets/d/1YyicmFHZ5MM15QCZU-jhTZOWMwNM2K43Oj11oQY9Wr0/edit?usp=sharing,Tinkerer (3) | Arcanist (2) | Weaponmaster (1),,6,"South Rock, Terra (Billionaire Lane)",,"6'4"" | 174 lbs | Blue Eyes",,,,"- Edward Lowell Jr. (aka Ed) grew up in his mother's, a former DHK executive, in mansion on Billionaire's Row 
- He and 2 older brothers grew up in the 1% levels of luxury, aiming to follow in their father's steps, a supposed ETA board member
- Ed learned his mother's basic formulas growing up
- Ed's time at Haven Prep changed him, making friends who inspired him to go solo
- Ed opens The Million Mystery (aka Mystery Gang), a private investigation company, after finishing college for about 5 years
- Skyfall forced the company to downsize
- Ed was subject to an attempted blackmail and kidnapping attempt by an unknown source, a realmstorm saved him",Justice
Ekho,200273794969894912,1287054823023181824,ffde4bb7-afda-48b1-ab34-fedf56b837cb,https://i.imgur.com/DinPySO.jpeg,,"[""This one... Wards. Ready.""](https://docs.google.com/spreadsheets/d/1n8zJezIV5K7Snt02hM56cK3wMSeMKTpASszgOljgQFY/edit?usp=sharing)","Botanist (3)
Loremaster (1)
Symbolist (1)",#227722,5,"???, Nezmira",,"To the naked eye, Ekho resembles a green-skinned desert plant in the shape of a young woman, with black eyes and a stretched-out mouth, with a hair bun that allows this one to open their own head as one giant bulb.

Standing about five feet high, this one wears an old linen sack they were thrown in with, with a rope acting like a sash to hold some of their possessions, like water skins and seeds of ""little ones"". One may also spot this one with a wooden stake they use for movement, gardening and, occasionally, fending off hostile creatures.","Arboreal
- immune to **shaken**
- vulnerable to **ice**
- MP cost of Toxic Pollen reduced by 5 in sunlight",,,,Caution
Elaine Sejr,95487748466544640,1359107319404691712,bd874a1a-1919-4842-959c-a883ae62e848,https://i.imgur.com/tkBlFPV.png,,https://docs.google.com/spreadsheets/d/12rjhoO6VoZWjHZJmc1OHII0_P4Ae2ReJ9UXM2hAn7Ko/edit?usp=sharing,"Esper ★
Pilot 3
Guardian 2",,15,"Terra, Haven",,"Height: 160cm

Elaine is a blonde haired female presenting individual from Terra. Rather petite figure and a patch covering her right eye. Usually wears rather loose clothes and looks mostly unbothered by most things.",Old Transport,"[Soul Hacker's Eyepatch](https://discord.com/channels/1169852846083153941/1170946655940530217/1332036570579996805)
[AR-W-01: Rhongomyniad](https://discord.com/channels/1169852846083153941/1188741294793691186/1324859793399218239)
[AR-01-HoR: Prydwen](https://discord.com/channels/1169852846083153941/1208284413864189993/1343608657832575027)
[Heartsleeve Decal (Support Module)](https://discord.com/channels/1169852846083153941/1170946571144265788/1343734865883041803)","SWORD (Nimue), 100G (Seraph)","* Traumatic Childhood that lead to her Psionic Powers
* Ran away from home. Stole Model from her father's account (works as an admin for SWORD games) 
* Lives in a van. Donates blood and plasma to support herself as well as working for 100G0",Rebellion
Elara Alksnis,464911746088304650,1358522136662249472,93ec507e-ba2b-4510-8ecf-dbedc32043d8,https://images-ext-1.discordapp.net/external/VvQ23qv-sA7i_YgeYWKVog7eLrUZzpEflnWQ6sU6d0o/https/i.imgur.com/nfAWiKy.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1214281274542268467,[Sheet](https://docs.google.com/spreadsheets/d/1kvoLdhXS3izDhaZk3fLPjOYe08SdO8u_HjzTAZ53akg/edit?usp=sharing),"Commander ☆
Tinkerer ☆
Wayfarer☆
Pilot ☆
Sharpshooter [3]
Arcanist [3]
Chimerist [2]",#d1514e,48,"Lhodos, Korala","Elara Walden, Elara Lockflint","Wilkin girl, 155cm (5'1"") and 59kg (130lb).
Has a cool flying motorcycle called Percival.
Accompanied by a cooler cyborg crow called Quill.",,"Multi on her cool Moonshard Railgun pistol
Physical Resistance armor or given to others on heal
Extra INS, FP on Discovery or Critical, Psionic Containment and Turning Leaflet",Bound to Terra's Antikythera,"- Orphaned and adopted by Caden Lockflint
- Raised to be a Magitech Engineer
- Latent unexplored magic made her fail Academy of Korala
- Sent out to become a mercenary with two full-metal animals
- Ended up at the Worldhelm a year ago
- Stayed mostly with Lhodos Goldhearted, both Merrani and Karlite
- Recently learned and accepted her past, unleashing her magic
- Abandoned the Lockflint name for Tika's Alksnis",Hope
Elijah-2615,106596968976957440,1360010368608505856,c6b88684-8a8d-4828-b05b-f7fb7d4bc4f6,https://i.imgur.com/b1AHvlV.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1336095926099382272,https://docs.google.com/spreadsheets/d/1FSlnCUETsIPsJ3m2yogjzyJkbUoy45Lt8sr2NVlrtQo/edit?usp=sharing,"Elementalist 4
Malefactor 9
Pilot 1",#3B6EA5,14,Steelbin - Kaiway,,"A lanky individual, a little over 6'1'' tall, with a face and body hidden inside an environmental isolation suit with a tabard, robes, and sigils atop, giving it the appearance of a strange mage's robes.

He carries a mechanized staff and a tome at his belt, as well as a wide variety of stimulants and medicine at his belt should his body begin to fail.",,,Lilith,"- Born to human parents living outside the Civilized Zone. Very sickly youth.

- Extended family chose to get barcoded and move into the Civilized Zone for his medical care

- Elijah was unable to leave bed for more than brief periods. Expensive and difficult to keep Elijah alive.

- Watched as mother grew ill and died, and his father came to resent the burden that Elijah was.

- Visited by a recruiter who took interest and pulled strings to get him an Envirosuit for mobility and disease prevention

- Joins the recruiter and goes to Heartdom, recruiter wants him to join Regalia, but he chooses Paladins instead out of fear of changing that much.",Duty
Elk,199182897754800130,1290747246710882304,c5405bda-333b-467b-85e8-8e6662a840a8,https://fbi.cults3d.com/uploaders/16589214/illustration-file/89b2566f-51f6-448b-a97b-1b5551fe1238/image-champion-stag-knight.jpg,,https://docs.google.com/spreadsheets/d/1YEFECTonjQm9_toOq6ZIc7_KD5MJxHJmJ54vdfDjGQc/edit?gid=0#gid=0,Guardian 1/ Weaponmaster 5/ Wayfarer 1,,7,"The Faerie Realm, Kor'Tarion",,"A well built, 6' tall figure decked in full armor, distinguishable by the mighty anklers on his helm. His arms, though well-maintained, curiously lack any markings or emblems.",Outcast Fairy,,,,Memory
Eluna,419689143443128321,1355518591574999296,6653c188-23b2-4d04-ba77-89b2ec0baff9,https://i.imgur.com/tyznuee.png,[Eluna's Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1290375606206468258),[Eluna's Sheet](https://docs.google.com/spreadsheets/d/1PVAbJ51rNKCGz2m4dbNbZJdlqoSWYWRlXrD2TFlvRfs/edit?gid=0#gid=0),Chanter [4] | Necromancer [2] | Elementalist [1],#FFFFFF,7,"The Faerie Realm, Kor'Tarion",,"Eluna stands at 5'2"" with silver hair, pointed ears and fangs. Most notably though is the faint fire the seems to dance in her the irises of her eyes that grows brighter as she sings.",Outcast Fairy - Cannot refuse an encore to her singing or leave a song unfinished or else she will lose her voice. Until she is asked to sing without prompting or can soak in a flower petal infused bath.,,,"- Set out from her home looking to try and help make things better between fae and humans.
- Grew up in a village where singing is as second nature as breathing.
- Village did not fully support her goals, and doesn't wish to return until she has done so or has a very good reason.",Determined
Elvis Alden,143928862194139146,1364384816510013440,9e85b03f-70d6-40a9-bb01-dbd11f497c23,https://i.imgur.com/zhpBlgS.png,,https://docs.google.com/spreadsheets/d/1in2jQYAHBMNXzA0Gg2NRugSlRwNvmcLhc27Q67HqaaQ/edit?gid=0#gid=0,"Loremaster 3
Wayfarer 2
Orator 1",,6,kor'Tarion,,A scrawny elf with the complexion of a vampire and a ludicrous amount of untamed bushy red hair.,,,,"* Raised to be a scholar
* Enrolled in Hudal Academy
* Became a shut-in for a decade doing nothing but studies
* Decided to change his life after losing his room during the Night of the Red Moon
* Spent another year studying travel
* Finally set out and stumbled into the Worldhelm",Curiosity
Ember Wake,178284834978791425,1356062636260856064,cfd747ea-b4e9-4aea-9289-704b913a8a00,https://i.imgur.com/eDtBf99.png,,https://docs.google.com/spreadsheets/d/1TANfQUAyAai4ESffD09CRr-EOOxHRe9QcThs1Y_HI6E/edit?gid=0#gid=0,"Tinkerer 1
Entropist 2
Dungeeoner 2",,5,"Vinyard, Terra",,"Ember is a 6'5, bulky figure in maintenance gear suited for 0-G and Vacuum usage. His skin is a faded, darker grey with the classical glowing red eyes indicative of Insolvency for Terrans. His beard is trimmed but somewhat shaggy, as is his hair.",Insolvent,,"Antikythera (Orrery)
Vanagandr (ETA)","- Came from a poor family
- Went into debt with ETA to get qualification through higher education
- Worked for Orrery for a long time, and finally got a chance to work in sub-orbital satellite maintenance through a work-visa for the Trans-Orbital Relocation Colum
- Skyfall destroyed many orbital structures, one of which he was working on
- He died, and was brought back as an Insolvent, and then got picked up by a realmstorm only days after",Burden
Emi,235530932000391169,1337799324817686528,f25270d9-12bd-4320-b691-bbb7e579383e,https://cdn.discordapp.com/attachments/830108476948086785/1337797810250055700/rRopAu2h.jpg?ex=67a8c0cd&is=67a76f4d&hm=28fa089a8a5243afc9b41d0cb143386a3b6d46021c3180c334717d442790e4bb&,,https://docs.google.com/spreadsheets/d/1Vt54B18D_bF_fTc-sI7tos0T87GP8RiE6ob_ssWaOT4/edit?usp=drivesdk,Chanter 3 | Esper 2,,5,Terra,,"Emi is a short, pretty woman with medium length blonde hair, bright blue eyes, and a slight build. Her hair seems to be styled differently every other day, and always has some streak of bright pastel. Her wardrobe seems to be constantly shifting as well, though short skirts with fun patterns, thigh highs, jackets and crop tops are more common than anything else.",,,,"Emi is the first daughter of a well-to-do corporate family. Tired of the pressure and responsibility, she ran away from home when her uncle died, changed her name, and started a new life as a musician. She's been playing shows and trying to make a name for herself in Haven ever since.",Rebellion
Emil Stoneheart,319372431221587968,1361621322643407104,d98f78f3-ebbc-44de-bdee-c67de48162c9,https://i.imgur.com/STQIwOt.png,,https://docs.google.com/spreadsheets/d/1oejoHjgCE10a0j4aPrAzT0AzhzBeKuYEqUTE2zGthEg/edit?gid=1581413134#gid=1581413134,Arcanist 2/ Guardian 1/ Weaponmaster 2,,5,"Kor'tarion, Lastport",,"This character has short, fluffy pink hair and striking amber-gold eyes with slit pupils, giving a feline impression that matches their prominent pink fox ears. They stand at a height of 5'9. A small red mark rests on their forehead, adding a mystical touch. They wear white and gold-trimmed armor over a dark turtleneck.",,"Heirloom Oathkeeper's Blade
Custom Weapon (1650z)
Form 1: Sword, Melee, Transforming, Powerful, Defense
ACC: 【MIG + MIG】+1
DMG: HR+12 Light
Form 2: Heavy, Melee, Transforming, Accurate, Powerful
ACC: 【MIG + MIG】+2
DMG: HR+14 Light
Quality: Potent Damage [Light]

Flavor text Flaw: This weapon cannot access it's Exalted Form (Second Form) unless there is a villain on the scene. 

Actual Flaw: Due to the making of this sword to a normal man this could net them thousands of Zenit hence many bandits wish to steal it to make a lot of money. However in the eyes of beings more powerful they know this weapon's vague origins of being a very destructive weapon enchanted by Dark Magic until it was Purified by an Angel of Seraph, many seek to corrupt it once more and use it for their own malicious gain.",,"- A demi-human born from the Stoneheart Nobles in Brightshield, Emil was sent to Snowmaw as a baby and was adopted by peasants. This was due to the unwelcoming view of the fae in brightshield before the Bloodmoon incident.

- Joined the Knights of Brightshield, hiding their Fae nature, but was expelled after the Bloodmoon events revealed their true identity.

- Returned to Snowmaw and became a local guard. When demons attacked, Emil merged with a mysterious power called Seraph to help protect the town.

- After defeating the demons, Emil was recruited by a former Brightshield Knight now with the Goldhearted Coalition, who helped train Emil in Arcanism.

- Upon completing their training, Emil was entrusted with the Oathkeeper’s Blade—an heirloom tied to a secret order devoted to Seraph—marking Emil as its worthy successor.

- Emil now aids others through the Coalition but was swept into the Worldhelm during an expedition to help struggling villages.",Duty
Emile Holdermann,80826834912018432,1324501726782427136,83f53655-3454-46ce-b3ac-2ceb0ee29614,https://i.imgur.com/4Hp3go7.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1319277329049976862,https://docs.google.com/spreadsheets/d/1Wd-YbByySLCGNhQO4ScWLx1VjcYOcVL2yyMKPyhhrV8/edit?usp=sharing,"Loremaster [2]
Esper [3]
Darkblade [1]",#000c66,6,Terra: Silver Rock (South Rock),,"Emile can often be observed to be in a relatively calm state, typically either daydreaming or collecting his thoughts. He stands at roughly 5'6"" tall, with his visage being mainly that of a canine with doberman-esque appearance and and eyes shimmering a pearlescent white. He is typically seen wearing either relatively casual streetwear or the uniform from his local law enforcement branch. A pretty striking point of interest though is the augmented mechanical left arm, with it's metallic construction readily visible.

When out on the field he can be seen with a blade attatched to his belt and vest. Leaving an impression of close combat being their preference.",,,,,Justice
Enlai,465582019150217226,1358971029573074944,eeb3652a-3a72-4d09-a6d5-9932833da060,https://i.imgur.com/Y5LNb8W.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1354592811604774963,[Enlai's sheet](https://docs.google.com/spreadsheets/d/1dub-wkUATXXjPtzFAebbdlr3UCLaeT-4tPHH4wVtNNc/edit?pli=1&gid=1820190587#gid=1820190587),"Invoker 5, Fury 1, Dancer 1",,7,"Bingchuan Village, Jijing Xiantiao, Wujing Guo, Tian Yin",恩来,"The Vanara stands just over 5 feet tall with a lean toned physique earned from laborious farmwork. Wears peasant clothing, a straw hat slung over his back and a stalk of grass in their mouth. Rarely seen without a smile on his face and a bottle in his hand.",,,,"- Resident of Bingchuan village where he earned a living as an ordinary farmer, gifted with a green thumb (or just plain good luck)
- Befriended a Jinshi martialist, Yang Xiang, who exchanges cups over discussing the Dao of the Drunken Master
- A yokai invaded the village and ruined their hard-earned crop, inciting Enlai to chase it furiously
- He unwittingly crossed a realmstorm onto the Worldhelm, and wishes to experience the joys of a broader world",Joy
Enoch,321875283147751424,1270236860282834944,aea9ef95-641d-418c-a686-6b8ba4abe1ce,https://media.discordapp.net/attachments/1203943383819878420/1204097166415765534/EnochGray3.png?ex=663ba45f&is=663a52df&hm=a669e45164fa7ab9e7d5dc1f056efe9040f03cb67171c50b978a3f031ded4b35&,,https://docs.google.com/spreadsheets/d/1y7xDCaWHr0D0EZ_ZavpfV8nJkXJ6KMQDes7pqOIGhxA/edit?usp=sharing,Weaponmaster 10/Darkblade 10/Loremaster 3/Entropist 6/Guardian 1,,30,Kor'Tarion,,"An unassuming grey-haired young man, often seen with a mercenary jacket, a longsword and katana at his hip, and carrying a book that looks strangely like communist paraphernalia.",Heirloom,"Kisshoten-Ichimonji (Heirloom)
Invites misfortune to its wielder out of combat, or summons sword-wielding enemies",,,Ambition
Ephraim,106596968976957440,1361455914460119040,037f0250-559c-499e-b6c9-44d2b7dd1bfb,https://i.imgur.com/9Lywbf9.jpg,,https://docs.google.com/spreadsheets/d/1bQQsetZ7RM9Quy5kr8NuAmWXabboFY63jXew1iQNhtU/edit?usp=sharing,"Spiritist 1
Ace of Cards ★
Arcanist 1
Orator 2",#6B2B45,14,Nezmira,,"Ephraim is a mercenary with an easygoing attitude. He stands at 5'11'' and has hair the color of tarnished bronze.

He can be seen playing with a shining gold coin that he always seems to have on him.",,"House's Cards:
Once per scene, when resolving a set using the Magic Cards skill, you may spend 10 Mind Points. If you do so, you can treat any one of the cards in your hand as a joker.",,"- An orphan bandit operating in the areas where Nezzim control was not so tight. Quit after a raid gone wrong became a village massacre.
- Captured and became slave to Nezzim masters. Eventually finds his way out of direct servitude and into 'working' for them instead, as a slave catcher.
- Becomes Goldhearted, and is shown a truth that the Nezzim and Humans share a common ancestry. Starts helping slaves escape from the Nezzim in secret.
- The Nezmiran Civil War against Theoris begins, and Ephraim throws in his lot with the Revolutionaries.",Circumstance
Epsilon J. Affogato,227988328119533568,1360544448030966016,70133a23-47f1-494e-bf20-51c7f95a8c2e,https://i.imgur.com/qUmhuIa.png,,"[""Greetings. My name is Epsilon J. Affogato, and I know it is in both our best interests if you humor me for these next 5 minutes.""](https://docs.google.com/spreadsheets/d/1mnw_5_iJcSS81vUy0zBVVFLCq5w1zaOfPruhyiW-SwA/edit?usp=sharing)","Gourmet (Bartender) 5
Orator 3
Merchant 3",,11,"Haven, Terra",,"A slim person with light brown skin, hair made white by their own choice, and a terrifyingly professional business sense of dress.",Beta-Stage Efficiency Upgrader Spinal Implant (Fugitive Experiment),,,"- Managed to get a solid chemistry degree from school
- Immediately learned it wouldn't be helpful, ended up doing great in more administrative support type roles.
- Saw the worst of Terra office culture, started gigging jobs at bars
- Enjoyed bartending, but it doesn't pay the bills
- But what if he made his own bar?
- Now actively trying to schmooze a way into owning his own bar where he can control the shots and be better than what he's seen (he's unfortunately suspect to the wheel that grinds everyone under it).",Aspiration
Erin Shephard,299015281853071360,1359338987046830336,3859edb0-0563-4f72-b2d6-c9cff3f5a49f,https://i.imgur.com/4o6dZB7.png,,https://docs.google.com/spreadsheets/d/1ieYWFRDhIZ4aSK2hgbcgO5Csb1N0Lw-MjhUUrWGBNog/edit?usp=sharing,"Pilot - 10
Tinkerer - 4
Guardian - 1",,15,"Steelbin, Kaiway",,Erin is a 5' 10 young woman with tan skin and shaggy brown hair. She is often seen in her uniform though it has the wear and tear of being in it when she is both training and working. A mechanical surfboard-esque thing is often slung over her shoulder that has become a staple for many who see her.,,,,"- Born and raised in Steelbin's Civilized Zone with her older brother, Anthony Shephard. Their parents made their living being mechanics for Machina.
- The two siblings were raised to be skilled craftsmen and Anthony gained patronage to the Academy due to engineering skills. Anthony then brought attention to his younger sister Erin, who held the same promising skills but seemed more focused on using it on her own projects.
- Under Anthony's recommendation, Erin received the same patronage but was more eager at the chance to leave Steelbin behind than learning new skills.
- Erin has been a student now for two years and while her brother was a perfect student, she failed to meet those expectations so she focused on proceeding to do the bare minimum to stay enrolled and no more than that.",Ambition
Eris L'arca,226351330950643713,1361501996091183104,1b743cad-8012-4e89-bd98-e9a305adda11,https://i.imgur.com/1xSUXG0.png,,https://docs.google.com/spreadsheets/d/1qnlfTzkHRmIXF1PjVZ5RCeE7rZgLNxY8HQWnK6RYXVk/edit?gid=0#gid=0,"Dancer 4
Rogue 1
Weaponmaster 1",,6,The Fae Realm of Kor'Tarion,,"Eris is a Faerie with many rabbit-like features standing at 4'1"". Small, but with plenty of presence. She has dark fur and short, puffy white hair with springy rabbit ears poking out from the top of her head and bright yellow eyes. Her favorite attire for dancing is a flowing green two-piece cloth that leaves plenty of room for her to breath during her performances. A small, round fluffy rabbit tail sits on her lower back.
During her dances, she sprouts glowing wings that seem to radiate with the colors of a peacock, leaving a torrent of feathers in their wake.",,,,"• Lost from her family in the Fae Realm, wandered looking for them until being sent to the Ruined Kingdom

• Learned how to fight by a mentor in a town she stumbled upon, she used this talent to help the people bring light into the darkness of the realm.

• A Realmstorm suddenly hit her, losing another parental figure of hers. She goes on adventures to look for them and her birth family.

• She desires to bring peace, freedom, hope, and joy to any realms she visits.",Hope
Ernest,531113406422581251,1271162151222116352,b48229d8-107e-4d67-b09c-5ead090d290f,https://i.imgur.com/jDJ77kt.jpeg,,https://docs.google.com/spreadsheets/d/1fTa5PN5PVrfQZnltU8dDPF6LiahMmWe7fQmf_gu-m84/edit?usp=sharing,"Fury 4
Sharpshooter 3
Guardian 1",,8,"Hedgeberg, Lhodos",,"""An older human. Their face is ugly with age, but their lineaments still have a softness to them. Their white hair is usually messily tied back, and it is not uncommon to see them wear a beret or cap.
They are always dressed with modest clothing, kept to near perfection.
Their posture is usually weary and tense; could it simply be the weight of their years?
Strange, they only go by their first name.""",Old Transport,\- **Arm-Mounted Cannon** [No Qualities],,,Belonging
Eurydice,283019070578753536,1361906376368066816,6eb0c004-6fc1-46a8-84e0-4b6d463518e1,https://media.discordapp.net/attachments/1179610873271177236/1361483339176873994/20220522_014150-1-3-1.png?ex=68003d2b&is=67feebab&hm=39ac920cd9bec2932bbcf094564704160357752b0be597006891272165b37e2c&format=webp&quality=lossless&,,https://docs.google.com/spreadsheets/d/1mi-pIlPjYw1TY46q__V_pBqSd-72HrdMVF2zAifVNZs/edit?usp=drivesdk,"Arcanist 2
Necromancer 2
Fury 1",,5,"Bazaar, Aranova",6 Unstoppable Dawn Purges the Horizon,"A woman that doesn't stand too tall, only at around 5'4, 5'5 if the day is going well for her. Her hair a stark white like the color has been shocked out of it, half her head shaven as long loose strands of hair hang down one side of her hair. When open her eyes are a sterling silver, a glint in them as if she's seeing more then she should. Adorned in golden jewelry and a mantle of white feathers along her shoulders, her clothes the simple wear of a traveling exorcist. On her person are always an assortment of weapons be them swords to firearms. Most notably are two, one a simple blade perfectly made for her while the other is a broken sword once made for two hands but now fits one. Always, spirits or other ghostly figures are near her person as if tied or drawn to her. A constant friendliness and passive gentleness to her nature.",Planet Oracle,Nah,Nimue,"- Eurydice was born within the Bazaar, not only an accidental birth but one believed to be born stillborn or sickly if the birth was even successful. 

- she had a normal upbringing, her father a blacksmith and her mother a merchant so life within the Bazaar was tame for her. Her parents were Keepers of the 4th Grave, Ogum.

- however, at a very young age she was discovered to be a Herald, a walker of Eminence's Path. 

- due to this, she was picked up by the Seven Slaying Arms Sect and trained under them to better foster her abilities. 

- either by her own desires, or the sects, to better honor the Path of Eminence, they set out to conquer an impossible challenge of taking a pilgrimage to the 5th grave, Apep.

- many lost their lives on this pilgrimage, and once they did get to the grave they were attacked by ghosts and spirits. Eurydice herself doesn't remember fully what happened.

- Eurydice now has a connection to ghosts and the Afterlife, having spirits bound to her.",Honor
Evelyn Mayer,108744783031185408,1211669050246307840,c1d9f51d-7b93-4c08-83dd-63d73daf327b,https://media.discordapp.net/attachments/351820925852712962/1203086972093210654/image.png?ex=663b434e&is=6639f1ce&hm=5da5ca5d4de3379bd10ed20083645514f7790770966d564836ce44c739a55536&,,https://docs.google.com/spreadsheets/d/1ayP-Rq-dFLkRa62vScZ-KVdM-DSbqiEdD7SE1SOKc0Y/edit?usp=sharing,"Tinkerer 3
Floralist 1
Rogue 2",,6,"Lhodos, The Boundless Ocean",,"Evelyn stands at 5'9"" with their messy blue hair only tied up with the ponytail behind then. A eyepatch over one of their eyes as they dress in an almost ostentatiously and aggressively in pirate fashion.",,,,,Enjoyment
Ezra White,240606774984441866,1207917017353555968,676b3648-7dcc-40d2-915a-b21387277d3a,https://media.discordapp.net/attachments/1191865670338613400/1191866600299700315/token_1_73.png?ex=663b5005&is=6639fe85&hm=024b2f2c3b43c2e58ad71468c0221469c9b2eed3ba001d87cb0c13c48068310f&,,https://docs.google.com/spreadsheets/d/1fLzpgkgcRVtz0uq8HXarCdhOXyS-yaEd2dG_WeOR5RA/edit#gid=0,Dancer 3 // Spiritist 1 // Weaponmaster 1,,5,Skamos (Nezmira),,A catboy with light red clothes and a fancy rapier at his side.,,,,,Justice
Fable,161286356977451009,1320587027145822208,7e74c86f-b000-4b9b-b5ef-2d552427e351,https://cdn.discordapp.com/attachments/636256402482135049/1320564023275688008/friend_w_hat-Portrait_45.png?ex=676a0e96&is=6768bd16&hm=ea2e698d6a0638cdf452ce90b781574dd52c205a6db012db6eaa33ce4eb7b338&,,https://docs.google.com/spreadsheets/d/1M8iKf4XgrZnEbpPParrjcxoFwbXX3lziEraS_5Yz0G0/edit?gid=0#gid=0,2 Entropist | 1 Weaponmaster | 2 Esper,,5,"The Gwaed Forest, Kor'Tarion",,"Fable is a little thing, still standing as tall as they can at 4' total (but they float to about 5'7"", usually) A body, bleak as ink, is blotted with tufts of fluffy snow-white fur. Flanking each side of their head are two perky, long ears like a rabbits, and a crown of jagged horns like those of an upturned buck. A floofy white tail, like a wolves sways behind them, and their slender legs end in a pair of tiny paws. They are decorated with muted cloths of black, and blue, bits of armor and metal protecting important bits. A large, blue-green gem hangs off their neck on a thick loop.

In total shadow, their moony yellow eyes breach the dark, as do the ends of their horns, and the bases of their ears in an eerie white and violet glow.","Outcast Faerie
- Learned Spell: Drain Spirit
- Fae Weakness: Fable is unable to make willful contact with any iron or iron alloys unless it is to defend, save, or fight someone or something.
""Steel is not to be drawn, until it's purpose is to be fulfilled""",,,,Bravery
